story_id,title,url,author,created_at,points,num_comments,story_text,date,year_month,title_length,story_text_length,engagement
36154705,Show HN: HN Resume to Jobs – AI Powered Job Matching Tailored to Your Resume,https://hnresumetojobs.com,SCUSKU,2023-06-01 17:45:57+00:00,214,75,"Hey HN! I&#x27;m excited to show off this side project I&#x27;ve been working on. This project matches your resume with the best matching jobs from the monthly HN Who&#x27;s Hiring post. It works by creating a vector embedding of your resume using OpenAI&#x27;s embedding API, and then ranking the jobs using a vector similarity score. (You can toggle between max inner product, cosine, and euclidean in the &quot;Advanced Options&quot;)<p>I was laid off in August and it took a whole 6 months for me to find my new job. Fortunately, I found my new role on January&#x27;s HN Who&#x27;s Hiring post. So I hope this will prove useful to any job seekers out there. I know it&#x27;s a tough time right now, but you will get through it!<p>Thanks HN! I would greatly appreciate any and all feedback!",2023-06-01,2023-06,76,793,High
47006513,I'm not worried about AI job loss,https://davidoks.blog/p/why-im-not-worried-about-ai-job-loss,ezekg,2026-02-13 19:13:04+00:00,210,352,,2026-02-13,2026-02,33,0,High
37857521,The AI research job market,https://www.interconnects.ai/p/ai-research-job-market,sebg,2023-10-12 14:18:07+00:00,207,183,,2023-10-12,2023-10,26,0,High
45798489,I analyzed 180M jobs to see what jobs AI is replacing today,https://bloomberry.com/blog/i-analyzed-180m-jobs-to-see-what-jobs-ai-is-actually-replacing-today/,AznHisoka,2025-11-03 12:52:18+00:00,200,149,,2025-11-03,2025-11,59,0,High
37761045,Tell HN: Please stop sending AI-generated job applications (whoishiring threads),,jeswin,2023-10-04 05:07:58+00:00,174,188,"Via yesterday&#x27;s whoishiring thread, I received more than 70 emails. A good percentage of them (nearly half of them) came with unedited AI-generated cover letters.<p>Please don&#x27;t do this. I spend time going through the resume, the various links in it, and then responding to everyone who applied. But this time, with so much AI-generated verbiage I simply don&#x27;t want to.<p>I understand non-native speakers of English wanting to use AI. But frankly, just saying &quot;here&#x27;s my resume (and github&#x2F;blog&#x2F;publications etc)&quot; is better than ChatGPT content. Writing longer emails creates an obligation for us (at the hiring end), and when it&#x27;s AI-generated you&#x27;re just wasting our time. If there&#x27;s a distinct AI-generated tone to the email, I&#x27;m inclined to not consider the application.",2023-10-04,2023-10,80,834,High
36574090,Show HN: JobLens – AI-powered job search for 'Who Is Hiring',https://www.kadoa.com/joblens,hubraumhugo,2023-07-03 15:16:24+00:00,108,18,"There are existing HN job aggregators, but I thought we could take it a step further.
Inspired by an insightful comment on a previous thread (<a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=36163021"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=36163021</a>), I built a tool that aggregates job postings and intelligently categorizes them based on user-specific preferences:<p>* Country and remote work preferences<p>* Employer type (e.g., startup, corporation, government)<p>* Industry<p>* Technologies used<p>* Role type (developer, architect, product owner, etc.)<p>* Salary range (where available)<p>One of the superpowers of LLMs is reformatting information from any format X to any other format Y.
We leverage this to map all the unstructured job postings into the same unified structure. The new GPT functions feature and the extended context windows are really helpful for this.
Instead of having to build a custom NER pipeline, it works very well with GPT out-of-the box.<p>One challenge is keeping the filters consistent and merging of duplicates. Embeddings help with that.<p>What&#x27;s next:<p>* Integrate additional sources. We can generate web scrapers and data processing steps on the fly that extract and transform data into the same structure.<p>* Add location distance filters.<p>* Expand beyond jobs to monitor personalized data like events or real estate. Imagine using AI to rate local events from multiple sources based on your preferences, considering factors like your interests and distance from home.<p>* Smaller improvements based on your feedback :)",2023-07-03,2023-07,60,1598,High
44976929,The AI Job Title Decoder Ring,https://www.dbreunig.com/2025/08/21/a-guide-to-ai-titles.html,dbreunig,2025-08-21 19:22:26+00:00,91,71,,2025-08-21,2025-08,29,0,Medium
36878749,"As Actors Strike for AI Protections, Netflix Lists $900k AI Job",https://theintercept.com/2023/07/25/strike-hollywood-ai-disney-netflix/,thm,2023-07-26 14:56:45+00:00,77,161,,2023-07-26,2023-07,63,0,Medium
35357978,"$335,000 Pay for ‘AI Whisperer’ Jobs Appears in Red-Hot Market",https://www.bloomberg.com/news/articles/2023-03-29/ai-chatgpt-related-prompt-engineer-jobs-pay-up-to-335-000,mfiguiere,2023-03-29 14:41:31+00:00,68,54,,2023-03-29,2023-03,62,0,Medium
18033746,"Kai-Fu Lee talks about AI, jobs, and the human heart",https://spectrum.ieee.org/tech-talk/robotics/artificial-intelligence/former-head-of-google-china-foresees-an-ai-crisis,NicoJuicy,2018-09-20 16:38:13+00:00,51,14,,2018-09-20,2018-09,52,0,Medium
43950770,"The AI jobs crisis is here, now",https://www.bloodinthemachine.com/p/the-ai-jobs-crisis-is-here-now,devonnull,2025-05-11 02:25:48+00:00,35,19,,2025-05-11,2025-05,31,0,Medium
38667206,"Recent data shows AI job losses rising, but the numbers don't tell full story",https://www.cnbc.com/2023/12/16/ai-job-losses-are-rising-but-the-numbers-dont-tell-the-full-story.html,rntn,2023-12-16 20:01:04+00:00,33,51,,2023-12-16,2023-12,77,0,Medium
40835231,Financial services shun AI over job and regulatory fears,https://www.ft.com/content/0675e4d9-62a1-4d6c-9098-a8cb0d1e32ed,thm,2024-06-30 04:55:34+00:00,32,34,,2024-06-30,2024-06,56,0,Medium
17615640,Find AI jobs in Switzerland,https://ai-jobs.ch,pat-jay,2018-07-26 07:14:02+00:00,25,7,,2018-07-26,2018-07,27,0,Medium
